,2P,2P.1,2PA,3P,3P.1,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,player_year,Player,Age,Tm,PER,TS%,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Signed,Dollars_Per_year
859,1.8,0.431,4.2,1.4,0.354,3.9,2.8,0.0,1.4,3.2,0.39399999999999996,8.1,1.8,0.7909999999999999,2.3,71,41,24.1,0.3,2.1,9.5,0.6,1.2,1.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Chucky Atkins2006,Chucky Atkins,31,TOT,12.9,0.526,0.478,0.284,2.1,1.4,3.6,0.1,0.8,-2.1,-1.3,0.3,2006,2007,3120000.0
860,2.6,0.474,5.5,1.5,0.379,4.1,4.6,0.1,1.6,4.1,0.434,9.5,3.4,0.81,4.1,75,23,27.5,0.2,1.8,13.2,0.7,1.7,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chucky Atkins2007,Chucky Atkins,32,MEM,17.4,0.58,0.428,0.435,5.1,-0.2,4.9,0.114,3.2,-3.9,-0.7,0.7,2007,2007,3120000.0
1659,7.7,0.513,15.0,0.0,0.231,0.2,3.3,0.4,3.6,7.7,0.509,15.1,4.2,0.821,5.1,67,67,34.9,1.1,2.1,19.7,1.4,2.4,4.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Grant Hill2005,Grant Hill,32,ORL,20.0,0.565,0.013000000000000001,0.336,4.7,1.9,6.6,0.136,1.6,-0.4,1.2,1.9,2005,2007,1903200.0
1660,5.6,0.498,11.2,0.1,0.25,0.4,2.3,0.3,3.1,5.7,0.49,11.6,3.7,0.765,4.9,21,17,29.2,0.7,2.4,15.1,1.1,1.7,3.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Grant Hill2006,Grant Hill,33,ORL,19.0,0.552,0.033,0.42,1.1,0.6,1.7,0.13,0.5,-0.8,-0.3,0.3,2006,2007,1903200.0
1661,5.2,0.525,10.0,0.0,0.16699999999999998,0.2,2.1,0.4,2.8,5.3,0.518,10.2,3.8,0.765,5.0,65,64,30.9,0.8,2.2,14.4,0.9,2.2,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Grant Hill2007,Grant Hill,34,ORL,16.3,0.5820000000000001,0.018000000000000002,0.491,2.9,2.3,5.1,0.12300000000000001,-0.2,0.1,0.0,1.0,2007,2007,1903200.0
3180,2.2,0.48,4.6,1.0,0.344,2.9,1.2,0.3,1.9,3.2,0.42700000000000005,7.5,2.1,0.698,3.0,67,3,20.0,1.0,2.1,9.5,0.7,1.4,2.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mickael Pietrus2005,Mickael Pietrus,22,GSW,14.2,0.539,0.389,0.40299999999999997,1.1,1.0,2.1,0.075,-0.1,-1.2,-1.3,0.2,2005,2007,3470770.0
3181,2.2,0.467,4.7,1.1,0.318,3.4,0.8,0.2,2.0,3.3,0.40399999999999997,8.0,1.7,0.608,2.8,52,18,22.7,1.1,2.5,9.3,0.6,1.5,3.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mickael Pietrus2006,Mickael Pietrus,23,GSW,10.0,0.5,0.42100000000000004,0.342,-0.3,0.9,0.6,0.024,-1.8,-1.2,-2.9,-0.3,2006,2007,3470770.0
3182,2.7,0.5579999999999999,4.8,1.3,0.38799999999999996,3.3,0.9,0.8,3.4,4.0,0.488,8.1,1.9,0.648,2.9,72,38,26.9,1.1,3.1,11.1,0.7,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mickael Pietrus2007,Mickael Pietrus,24,GSW,13.0,0.59,0.41,0.358,2.0,1.5,3.6,0.08800000000000001,-0.5,-0.4,-0.9,0.5,2007,2007,3470770.0
3054,1.3,0.442,3.0,0.1,0.22699999999999998,0.5,1.3,0.2,2.0,1.4,0.41100000000000003,3.5,0.8,0.603,1.3,43,9,16.6,1.1,1.9,3.8,0.7,1.0,3.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matt Barnes2005,Matt Barnes,24,SAC,9.0,0.465,0.146,0.384,-0.2,0.6,0.4,0.027999999999999997,-2.6,0.5,-2.1,0.0,2005,2007,3000000.0
3055,1.2,0.536,2.2,0.1,0.2,0.3,0.5,0.1,1.3,1.3,0.5,2.5,0.6,0.6809999999999999,0.8,56,5,11.3,0.9,1.8,3.1,0.4,0.5,2.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matt Barnes2006,Matt Barnes,25,TOT,10.7,0.545,0.107,0.336,0.5,0.4,1.0,0.075,-1.7,-0.8,-2.6,-0.1,2006,2007,3000000.0
