,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
1393,1.3,0.367,3.6,0.4,0.318,1.2,2.7,31,0,0.7,1.7,0.355,4.8,1.4,0.831,1.6,36,0,16,0.3,0.6,5.1,Earl Boykins,0.4,1.1,0.9,2008.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1394,2.3,0.446,5.1,0.3,0.317,0.9,2.6,33,0,0.9,2.6,0.427,6,1.1,0.865,1.3,67,1,16.7,0.3,0.7,6.6,Earl Boykins,0.4,1,1.1,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1395,2.3,0.459,4.9,0.5,0.38,1.2,2.5,34,0.1,0.7,2.7,0.443,6.2,1.2,0.841,1.4,57,0,15.1,0.3,0.8,7.2,Earl Boykins,0.7,0.9,1,2011.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1396,1.3,0.37,3.4,0.3,0.222,1.1,2.1,35,0,1.4,1.5,0.333,4.5,1.6,0.867,1.9,8,0,13.9,0,0.6,4.9,Earl Boykins,0.1,0.9,1.4,2012.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1397,1.1,0.37,2.9,0,0.4,0.1,0.4,22,0.3,0.9,1.1,0.371,3,0.5,0.722,0.7,51,0,7.5,0.4,0.5,2.7,Earl Clark,0.1,0.5,1.2,2010.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1398,1.6,0.444,3.6,0,0.0,0.1,0.2,23,0.4,1.5,1.6,0.43,3.8,0.6,0.574,1.1,42,0,11,0.9,1.1,3.9,Earl Clark,0.2,0.7,2.4,2011.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1399,1.1,0.367,3.1,0,0.0,0,0.4,24,0.7,2,1.1,0.367,3.1,0.5,0.724,0.6,45,1,12.4,0.8,1.6,2.7,Earl Clark,0.3,0.6,2.8,2012.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1400,2.3,0.479,4.8,0.6,0.337,1.8,1.1,25,0.7,4.1,2.9,0.44,6.5,0.9,0.697,1.3,59,36,23.1,1.4,1.7,7.3,Earl Clark,0.6,1.1,5.5,2013.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1401,1,0.403,2.6,0.8,0.336,2.3,0.3,26,0.5,2.2,1.8,0.372,4.8,0.4,0.647,0.6,54,17,14.2,0.4,1.2,4.8,Earl Clark,0.3,0.6,2.6,2014.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1402,2.3,0.471,4.9,0.7,0.319,2,4.5,25,0.2,1.6,3,0.426,6.9,1.1,0.659,1.7,80,14,22.6,0.4,2.3,7.7,Earl Watson,1,2.1,2.1,2005.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1403,1.6,0.46,3.4,1.6,0.404,3.9,4.1,26,0.1,1.9,3.1,0.43,7.3,1.1,0.676,1.6,70,10,22.5,0.3,2.3,8.9,Earl Watson,1,1.9,2.3,2006.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1404,2.2,0.42,5.3,1.2,0.329,3.6,5.7,27,0.3,2,3.4,0.383,8.9,1.4,0.735,1.9,77,25,27.9,0.4,2,9.4,Earl Watson,1.3,2.2,2.4,2007.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1405,3.7,0.472,7.9,0.6,0.371,1.7,6.8,28,0.1,2.3,4.3,0.454,9.6,1.4,0.766,1.9,78,73,29.1,0.6,2,10.7,Earl Watson,0.9,2.2,2.9,2008.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1406,2.3,0.418,5.4,0.3,0.235,1.3,5.8,29,0.2,2.2,2.6,0.384,6.7,1.2,0.755,1.6,68,18,26.1,0.5,2,6.6,Earl Watson,0.7,2.3,2.7,2009.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1407,2.2,0.5,4.3,0.7,0.288,2.3,5.1,30,0.2,2.4,2.8,0.426,6.6,1.5,0.71,2.1,79,52,29.4,0.7,2.3,7.8,Earl Watson,1.3,2.2,3,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
