name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
lester conner,76,180,1,14,14,1982
anthony cook,81,205,1,24,24,1989
brian cook,81,234,1,24,24,2003
daequan cook,77,205,1,21,21,2007
darwin cook,75,184,4,1,70,1980
jeff cook,82,215,3,5,49,1978
norm cook,80,210,1,16,16,1976
omar cook,73,190,2,3,32,2001
joe cooke,75,175,6,9,94,1970
duane cooper,73,185,2,9,36,1992
joe cooper,82,230,5,3,95,1981
michael cooper,77,170,3,16,60,1978
wayne cooper,82,220,2,18,40,1978
hollis copeland,78,180,3,2,46,1978
tyrone corbin,78,210,2,11,35,1985
chris corchiani,72,185,2,9,36,1991
dave corzine,83,250,1,18,18,1978
larry costello,73,186,2,3,12,1954
james cotton,77,220,2,4,32,1997
john coughran,79,225,5,5,74,1973
mel counts,84,230,1,7,7,1964
steve courtin,73,188,3,8,24,1964
demarcus cousins,83,270,1,5,5,2010
bob cousy,73,175,1,3,3,1950
dave cowens,81,230,1,4,4,1970
chubby cox,74,180,8,7,159,1978
johnny cox,76,180,4,4,27,1958
wesley cox,78,215,1,18,18,1977
allen crabbe,78,210,2,1,31,2013
chris crawford,81,235,2,22,50,1997
freddie crawford,76,189,8,1,63,1963
jamal crawford,77,200,1,8,8,2000
joe crawford,77,210,2,28,58,2008
jordan crawford,76,195,1,27,27,2010
jim creighton,80,200,3,10,40,1972
ron crevier,84,235,4,5,75,1983
winston crite,79,233,3,7,53,1987
javaris crittenton,77,200,1,19,19,2007
bobby croft,82,200,8,4,123,1970
terry crosby,76,195,3,18,62,1979
austin croshere,81,235,1,12,12,1997
jeff cross,82,240,3,14,61,1984
pete cross,81,230,2,6,23,1970
russell cross,82,215,1,6,6,1983
chink crossin,73,165,1,6,6,1947
mark crow,79,210,6,1,111,1977
jae crowder,78,235,2,4,34,2012
al cueto,79,230,10,3,130,1969
pat cummings,81,230,3,15,59,1978
terry cummings,81,220,1,2,2,1982
vonteego cummings,75,185,1,26,26,1999
billy cunningham,78,210,1,5,5,1965
dante cunningham,80,230,2,3,33,2009
dick cunningham,82,245,2,7,21,1968
jared cunningham,76,195,1,24,24,2012
earl cureton,81,210,3,14,58,1979
bill curley,81,220,1,22,22,1994
dell curry,76,190,1,15,15,1986
eddy curry,84,295,1,4,4,2001
jameson curry,75,190,2,21,51,2007
stephen curry,75,190,1,7,7,2009
mike d'antoni,75,185,2,2,20,1973
mike dabich,84,242,7,1,60,1966
quintin dailey,75,180,1,7,7,1982
samuel dalembert,83,255,1,26,26,2001
erick dampier,83,265,1,10,10,1996
louie dampier,72,170,4,7,38,1967
bob dandridge,78,195,4,2,45,1969
antonio daniels,76,195,1,4,4,1997
mel daniels,81,220,1,9,9,1967
sasha danilovic,77,200,2,16,43,1992
adrian dantley,77,208,1,6,6,1976
ollie darden,79,235,3,2,22,1966
yinka dare,84,265,1,14,14,1994
jesse dark,77,210,2,14,32,1974
jimmy darrow,70,170,5,6,38,1960
brad daugherty,84,245,1,1,1,1986
jermareo davidson,82,230,2,6,36,2007
anthony davis,82,253,1,1,1,2012
antonio davis,81,215,2,18,45,1990
baron davis,75,209,1,3,3,1999
ben davis,81,240,2,14,43,1996
bob davis,79,215,2,1,14,1972
brad davis,75,180,1,15,15,1977
brian davis,79,200,2,21,48,1992
charles davis,79,215,2,12,35,1981
charlie davis,74,160,8,1,120,1971
dale davis,83,230,1,13,13,1991
deyonta davis,83,237,2,1,31,2016
dwight davis,80,220,1,3,3,1972
ed davis,82,240,1,13,13,2010
glen davis,81,289,2,5,35,2007
harry davis,79,220,2,11,33,1978
hubert davis,77,183,1,20,20,1992
jim davis,81,225,4,2,27,1964
johnny davis,74,170,2,5,22,1976
lee davis,80,235,10,13,133,1968
mark davis,79,210,2,19,48,1995
mel davis,78,220,1,14,14,1973
mickey davis,79,195,7,16,113,1972
mike davis,75,185,1,14,14,1969
monti davis,79,205,1,21,21,1980
paul davis,83,270,2,4,34,2006
ralph davis,76,180,3,1,17,1960
red davis,79,220,6,7,52,1954
ricky davis,78,195,1,21,21,1998
ron davis,78,198,5,2,70,1976
walter davis,78,193,1,5,5,1977
warren davis,78,212,6,2,46,1965
willie davis,80,234,10,6,108,1967
darryl dawkins,83,251,1,5,5,1975
johnny dawkins,74,165,1,10,10,1986
paul dawkins,77,190,10,1,185,1979
branden dawson,78,225,2,26,56,2015
jimmy dawson,72,175,16,2,154,1967
todd day,78,188,1,8,8,1992
austin daye,83,220,1,15,15,2009
darren daye,80,220,3,10,57,1983
nando de colo,77,200,2,23,53,2009
greg deane,76,190,4,1,67,1979
andrew declercq,82,230,2,5,34,1995
don dee,80,210,3,3,25,1968
archie dees,80,205,1,2,2,1958
terry dehere,74,190,1,13,13,1993
sam dekker,81,230,1,18,18,2015
vinny del negro,76,185,2,4,29,1988
bison dele,81,235,1,10,10,1991
carlos delfino,78,230,1,25,25,2003
tony delk,73,189,1,16,16,1996
fennis dembo,77,215,2,5,30,1988
larry demic,81,225,1,9,9,1979
george dempsey,74,190,7,9,68,1951
luol deng,81,220,1,7,7,2004
kenny dennard,80,220,4,9,78,1981
randy denton,82,240,4,10,61,1971
joe depre,75,185,2,12,29,1970
rod derline,72,175,10,8,169,1974
demar derozan,79,221,1,9,9,2009
dave deutsch,73,170,12,1,98,1966
corky devlin,77,195,2,3,9,1955
derrick dial,76,184,2,23,52,1998
cheick diallo,81,220,2,3,33,2016
boris diaw,80,250,1,21,21,2003
guillermo diaz,74,192,2,22,52,2006
dan dickau,72,190,1,28,28,2002
kaniel dickens,80,215,2,21,50,2000
michael dickerson,77,190,1,14,14,1998
clyde dickey,75,185,7,4,112,1974
derrek dickey,79,218,2,11,29,1973
john dickson,82,240,3,3,22,1967
travis diener,73,175,2,8,38,2005
gorgui dieng,83,241,1,21,21,2013
connie dierking,81,222,1,5,5,1958
coby dietrick,82,220,10,2,155,1970
ernie digregorio,72,180,1,3,3,1973
craig dill,83,215,4,11,42,1967
mickey dillard,75,170,3,9,55,1981
jackie dinkins,77,210,9,14,150,1971
spencer dinwiddie,78,200,2,8,38,2014
ike diogu,80,250,1,9,9,2005
desagana diop,84,300,1,8,8,2001
terry dischinger,79,189,2,1,8,1962
fred diute,75,210,3,8,27,1951
vlade divac,85,243,1,26,26,1989
juan dixon,75,164,1,17,17,2002
michael doleac,83,262,1,12,12,1998
james donaldson,86,275,4,7,73,1979
billy donovan,71,171,3,22,68,1987
keyon dooling,75,196,1,10,10,2000
jacky dorsey,79,230,2,9,26,1976
joey dorsey,80,268,2,3,33,2008
ron dorsey,76,200,13,9,204,1971
tyler dorsey,77,183,2,11,41,2017
damyean dotson,78,205,2,14,44,2017
quincy douby,75,175,1,19,19,2006
