name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
ronnie valentine,79,210,3,5,51,1980
john vallely,75,185,1,14,14,1970
dick van arsdale,77,210,2,2,10,1965
tom van arsdale,77,202,2,3,11,1965
jan van breda kolff,79,195,2,2,20,1974
nick van exel,73,170,2,10,37,1993
keith van horn,82,220,1,2,2,1997
norm van lier,73,173,3,5,34,1969
dennis van zant,81,210,7,12,120,1974
kiki vandeweghe,80,220,1,11,11,1980
nick vanos,85,255,2,8,32,1985
anderson varejao,82,273,2,1,30,2004
jarvis varnado,81,230,2,11,41,2010
greivis vasquez,78,217,1,28,28,2010
chico vaughn,74,190,4,1,26,1962
david vaughn,81,240,1,25,25,1995
jacque vaughn,73,190,1,27,27,1997
rashad vaughn,78,202,1,17,17,2015
loy vaught,81,230,1,13,13,1990
bob verga,73,190,3,6,25,1967
pete verhoeven,81,215,4,16,85,1981
jan vesely,83,240,1,6,6,2011
charlie villanueva,83,232,1,7,7,2005
jay vincent,79,220,2,1,24,1981
sam vincent,74,185,1,20,20,1985
marcus vinicius,80,225,2,13,43,2006
claude virden,78,195,9,6,142,1970
alexander volkov,82,218,6,18,134,1986
noah vonleh,82,240,1,9,9,2014
jake voskuhl,83,245,2,4,33,2000
danny vranes,79,210,1,5,5,1981
slavko vranes,89,275,2,10,39,2003
brett vroman,84,220,4,21,87,1978
jackson vroman,82,220,2,2,31,2004
nikola vucevic,84,260,1,16,16,2011
sasha vujacic,79,195,1,27,27,2004
dwyane wade,76,220,1,5,5,2003
von wafer,77,210,2,9,39,2005
dajuan wagner,74,200,1,6,6,2002
milt wagner,77,185,2,11,35,1986
dion waiters,76,225,1,4,4,2012
granville waiters,83,225,2,15,39,1983
andre wakefield,75,175,5,19,107,1978
neal walk,82,220,1,2,2,1969
andy walker,76,190,7,7,111,1976
antoine walker,80,224,1,6,6,1996
chet walker,78,212,2,5,12,1962
darrell walker,76,180,1,12,12,1983
foots walker,72,184,3,2,38,1974
henry walker,78,220,2,17,47,2008
horace walker,75,210,4,6,30,1960
jimmy walker,75,195,1,1,1,1967
kemba walker,73,172,1,9,9,2011
kenny walker,80,210,1,5,5,1986
phil walker,75,180,7,13,117,1976
samaki walker,81,240,1,9,9,1996
wally walker,79,190,1,5,5,1976
john wall,76,195,1,1,1,2010
gerald wallace,79,215,1,25,25,2001
john wallace,80,225,1,18,18,1996
rasheed wallace,82,225,1,4,4,1995
tyrone wallace,77,205,2,30,60,2016
dwight waller,78,220,10,11,131,1968
jamie waller,76,215,3,2,48,1987
taurean prince,80,220,1,12,12,2016
rex walters,76,190,1,16,16,1993
bill walton,83,210,1,1,1,1974
lloyd walton,72,160,3,6,40,1976
luke walton,80,235,2,3,32,2003
bobby wanzer,72,170,1,10,10,1948
perry warbington,74,165,9,1,145,1974
charlie ward,74,190,1,26,26,1994
gerry ward,76,195,1,5,5,1963
henry ward,76,195,6,9,99,1975
jim ware,79,210,3,6,26,1966
ben warley,77,200,4,3,27,1960
cornell warner,81,220,2,7,24,1970
bob warren,77,190,4,11,47,1968
john warren,75,180,1,11,11,1969
t.j. warren,80,230,1,14,14,2014
willie warren,76,203,2,24,54,2010
bryan warrick,77,195,2,2,25,1982
hakim warrick,81,219,1,19,19,2005
chris washburn,83,225,1,3,3,1986
donald washington,80,210,5,8,80,1975
duane washington,76,195,2,13,36,1987
eric washington,76,190,2,18,46,1997
jim washington,78,210,1,6,6,1965
kermit washington,80,230,1,5,5,1973
pearl washington,74,190,1,13,13,1986
richard washington,83,220,1,3,3,1976
stan washington,76,190,4,12,66,1974
trooper washington,79,215,5,7,50,1967
wilson washington,81,227,2,3,25,1977
earl watson,73,195,2,11,40,2001
jamie watson,79,190,2,20,47,1994
ron watts,78,210,2,9,17,1965
clarence weatherspoon,78,240,1,9,9,1992
nick weatherspoon,79,195,1,13,13,1973
kyle weaver,78,201,2,8,38,2008
spud webb,66,133,4,17,87,1985
chris webber,81,245,1,1,1,1993
elnardo webster,77,190,4,11,54,1969
jeff webster,80,232,2,13,40,1994
martell webster,79,230,1,6,6,2005
marvin webster,85,225,1,3,3,1975
scott wedman,79,215,1,6,6,1974
sonny weems,78,205,2,9,39,2008
brant weidner,81,230,4,20,90,1983
bob weiss,74,180,3,5,22,1965
rick weitzman,74,175,10,8,110,1967
bonzi wells,77,210,1,11,11,1998
bubba wells,77,230,2,6,34,1997
owen wells,79,200,5,5,77,1974
chris welp,84,245,1,16,16,1987
jiri welsch,79,208,1,16,16,2002
bill wennington,84,245,1,16,16,1985
robert werdann,83,250,2,19,46,1992
walt wesley,83,220,1,6,6,1966
david west,81,250,1,18,18,2003
delonte west,76,180,1,24,24,2004
doug west,78,200,2,11,38,1989
jerry west,74,175,1,2,2,1960
mark west,82,230,2,6,30,1983
roland west,76,178,8,5,73,1966
dexter westbrook,80,190,5,1,44,1967
russell westbrook,75,200,1,4,4,2008
paul westphal,76,195,1,10,10,1972
john wetzel,77,190,8,7,75,1966
robert whaley,82,260,2,21,51,2005
ennis whatley,75,177,1,13,13,1983
dejuan wheat,72,165,2,23,51,1997
clinton wheeler,73,185,7,12,150,1981
tyson wheeler,70,165,2,18,47,1998
d.j. white,81,251,1,29,29,2008
derrick white,77,190,1,29,29,2017
eric white,80,200,3,19,65,1987
herb white,74,195,8,14,133,1970
hubie white,76,205,2,7,14,1962
jahidi white,81,290,2,14,43,1998
james white,79,200,2,1,31,2006
jo jo white,75,190,1,9,9,1969
randy white,80,240,1,8,8,1989
rodney white,81,238,1,9,9,2001
rory white,80,210,4,17,86,1982
royce white,80,270,1,16,16,2012
rudy white,74,195,3,11,47,1975
tony white,74,170,2,10,33,1987
willie white,75,195,2,18,42,1984
isaiah whitehead,76,213,2,12,42,2016
jerome whitehead,82,220,2,19,41,1978
hassan whiteside,84,265,2,3,33,2010
dwayne whitfield,81,240,2,11,40,1995
chris whitney,72,168,2,20,47,1993
hank whitney,79,230,4,5,37,1961
hawkeye whitney,77,235,1,16,16,1980
sidney wicks,80,225,1,2,2,1971
ron widby,76,210,12,3,126,1967
bob wiesenhahn,76,215,2,2,11,1961
andrew wiggins,80,199,1,1,1,2014
mitchell wiggins,76,185,1,23,23,1983
ken wilburn,78,195,4,9,39,1966
c.j. wilcox,77,195,1,28,28,2014
chris wilcox,82,221,1,8,8,2002
gene wiley,82,210,2,8,15,1962
michael wiley,81,200,2,16,39,1980
morlon wiley,76,185,2,21,46,1988
win wilfong,74,185,1,4,4,1957
lenny wilkens,73,180,1,6,6,1960
bob wilkerson,78,195,1,11,11,1976
jamaal wilkes,78,190,1,11,11,1974
james wilkes,79,195,3,4,50,1980
dominique wilkins,79,200,1,3,3,1982
eddie lee wilkins,82,220,6,17,133,1984
gerald wilkins,78,185,2,23,47,1985
jeff wilkins,83,230,2,15,37,1977
dale wilkinson,82,220,10,16,221,1982
al williams,78,200,3,17,51,1970
alvin williams,77,185,2,19,47,1997
bernie williams,75,175,2,6,21,1969
buck williams,80,215,1,3,3,1981
chuck williams,74,175,6,12,76,1968
chuckie williams,75,180,1,15,15,1976
corey williams,74,190,2,6,33,1992
deron williams,75,200,1,3,3,2005
derrick williams,80,240,1,2,2,2011
duck williams,74,180,5,8,96,1978
earl williams,79,230,3,13,49,1974
elliot williams,77,190,1,22,22,2010
eric williams,80,220,1,14,14,1995
fly williams,77,200,9,12,152,1976
frank williams,75,212,1,25,25,2002
freeman williams,76,190,1,8,8,1978
gene williams,79,235,2,9,24,1969
gus williams,74,175,2,2,20,1975
guy williams,81,200,2,10,34,1983
hank williams,77,210,6,10,100,1975
herb williams,82,242,1,14,14,1981
hot rod williams,83,215,2,21,45,1985
jason williams,73,190,1,7,7,1998
jay williams,74,195,1,2,2,2002
jayson williams,81,240,1,21,21,1990
jerome williams,81,206,1,26,26,1996
john williams,80,235,1,12,12,1986
jordan williams,82,260,2,6,36,2011
kenny williams,81,205,2,19,46,1990
kevin williams,74,175,2,22,46,1983
lou williams,73,175,2,15,45,2005
marcus williams,79,205,2,3,33,2007
marvin williams,81,237,1,2,2,2005
micheal williams,74,175,2,23,48,1988
mike williams,80,255,3,4,51,1986
milt williams,74,182,17,5,202,1968
mo williams,73,198,2,18,47,2003
monty williams,80,225,1,24,24,1994
pete williams,79,190,4,19,89,1985
ray williams,75,188,1,10,10,1977
reggie williams,79,190,1,4,4,1987
rickey williams,73,175,10,4,190,1978
rob williams,74,175,1,19,19,1982
ron williams,75,188,1,9,9,1968
sam williams,80,210,2,10,33,1981
sean williams,82,235,1,17,17,2007
shammond williams,73,201,2,5,34,1998
shawne williams,81,225,1,17,17,2006
shelden williams,81,250,1,5,5,2006
sly williams,79,210,1,21,21,1979
terrence williams,78,220,1,11,11,2009
walt williams,80,219,1,7,7,1992
ward williams,76,195,1,8,8,1948
willie williams,79,200,3,4,38,1970
corliss williamson,79,245,1,13,13,1995
john williamson,74,185,6,10,96,1973
vann williford,78,195,3,14,48,1970
kevin willis,84,220,1,11,11,1984
bill willoughby,80,205,2,1,19,1975
bobby wilson,75,175,3,16,52,1974
bubba wilson,75,175,5,13,101,1978
d.j. wilson,82,234,1,17,17,2017
isaiah wilson,74,175,2,12,29,1971
jasper wilson,78,200,7,4,82,1968
jim wilson,70,175,4,11,62,1970
michael wilson,76,175,3,1,47,1982
nikita wilson,80,200,2,7,30,1987
othell wilson,72,190,2,11,35,1984
rick wilson,77,200,2,3,25,1978
ricky wilson,75,195,3,5,52,1986
stephen wilson,77,185,16,5,227,1970
trevor wilson,79,210,2,9,36,1990
tony windis,73,160,5,2,32,1959
john windsor,80,215,5,5,39,1962
lee winfield,74,174,3,3,32,1969
david wingate,77,185,2,20,44,1986
dontonio wingfield,80,256,2,10,37,1994
marv winkler,73,164,3,16,50,1970
justise winslow,79,225,1,10,10,2015
rickie winslow,80,225,2,5,28,1987
brian winters,76,185,1,12,12,1974
voise winters,80,200,2,20,44,1985
willie wise,77,210,5,7,64,1969
jeff withey,84,231,2,9,39,2013
luke witte,84,235,4,5,57,1973
greg wittman,80,210,7,3,88,1969
randy wittman,78,210,1,22,22,1983
garry witts,79,190,5,11,103,1981
dave wohl,74,185,3,11,46,1971
joe wolf,83,230,1,13,13,1987
nate wolters,76,190,2,8,38,2013
al wood,78,193,1,4,4,1981
howard wood,79,235,2,4,27,1981
leon wood,75,185,1,10,10,1984
loren woods,85,245,2,17,46,2001
qyntel woods,80,221,1,21,21,2002
randy woods,70,185,1,16,16,1992
mike woodson,77,195,1,12,12,1980
orlando woolridge,81,215,1,6,6,1981
haywoode workman,74,180,2,22,49,1989
mark workman,81,215,1,1,1,1952
tom workman,79,218,1,8,8,1967
metta world peace,78,260,1,16,16,1999
sam worthen,77,195,2,3,26,1980
james worthy,81,225,1,1,1,1982
antoine wright,79,210,1,15,15,2005
bracey wright,75,210,2,17,47,2005
brad wright,83,225,3,2,49,1985
brandan wright,82,210,1,8,8,2007
delon wright,77,183,1,20,20,2015
dorell wright,81,205,1,19,19,2004
howie wright,75,185,2,17,34,1970
joby wright,80,220,2,5,18,1972
julian wright,80,225,1,13,13,2007
larry wright,73,160,1,14,14,1976
leroy wright,81,215,2,8,16,1960
lonnie wright,74,205,6,4,54,1966
lorenzen wright,83,225,1,7,7,1996
luther wright,86,270,1,18,18,1993
sharone wright,83,260,1,6,6,1994
tony wroten,78,205,1,25,25,2012
dennis wuycik,78,215,2,14,27,1972
guerschon yabusele,79,260,1,16,16,2016
vincent yarbrough,79,210,2,4,33,2002
george yardley,77,190,1,7,7,1950
barry yates,79,215,8,12,131,1971
wayne yates,80,235,1,5,5,1961
charlie yelverton,74,190,2,8,25,1971
rich yonakor,81,220,3,15,61,1980
danny young,75,175,2,15,39,1984
james young,78,215,1,17,17,2014
joe young,74,180,2,13,43,2015
korleone young,79,213,2,11,40,1998
michael young,79,220,1,24,24,1984
nick young,79,210,1,16,16,2007
perry young,77,210,3,14,61,1985
sam young,78,220,2,6,36,2009
thaddeus young,80,221,1,12,12,2007
tim young,84,220,2,27,56,1999
sun yue,81,205,2,10,40,2007
cody zeller,84,240,1,4,4,2013
dave zeller,73,175,7,2,61,1961
gary zeller,75,205,5,15,83,1970
tyler zeller,84,253,1,17,17,2012
tony zeno,80,210,2,10,32,1979
phil zevenbergen,82,230,3,4,50,1987
wang zhizhi,84,255,2,7,36,1999
george zidek,84,250,1,22,22,1995
derrick zimmerman,75,195,2,11,40,2003
stephen zimmerman,84,240,2,11,41,2016
paul zipser,80,215,2,18,48,2016
ante zizic,83,250,1,23,23,2016
bill zopf,73,170,2,16,33,1970
ivica zubac,85,265,2,2,32,2016
